,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain Inches (last 3 hrs),Snow Inches (last 3 hrs)
96,Saint-Philippe,RE,2020-05-08 03:33:16,-21.36,55.77,75.2,73,100,6.93,overcast clouds,0.0,0.0
97,Rundu,NA,2020-05-08 03:33:16,-17.93,19.77,55.11,43,0,6.4,clear sky,0.0,0.0
98,Manzanillo,CU,2020-05-08 03:33:17,20.34,-77.12,76.51,84,23,6.06,light rain,0.17,0.0
99,Avarua,CK,2020-05-08 03:33:17,-21.21,-159.78,82.4,74,6,8.05,clear sky,0.0,0.0
100,Lewiston,US,2020-05-08 03:33:17,44.1,-70.21,44.6,65,20,5.82,few clouds,0.0,0.0
101,Rockingham,US,2020-05-08 03:33:17,42.97,-71.1,53.01,49,78,4.0,broken clouds,0.0,0.0
102,Antigonish,CA,2020-05-08 03:33:17,45.62,-62.0,34.0,92,92,1.99,overcast clouds,0.0,0.0
103,Vao,NC,2020-05-08 03:33:17,-22.67,167.48,73.0,78,85,29.46,light rain,0.22,0.0
104,Henties Bay,NA,2020-05-08 03:33:18,-22.12,14.28,71.2,36,0,4.03,clear sky,0.0,0.0
105,Luganville,VU,2020-05-08 03:33:18,-15.53,167.17,82.4,61,20,9.17,few clouds,0.0,0.0
106,Palimbang,PH,2020-05-08 03:33:18,6.21,124.19,86.2,72,46,5.57,light rain,0.42,0.0
107,Baruun-Urt,MN,2020-05-08 03:33:18,46.68,113.28,60.96,29,100,14.97,overcast clouds,0.0,0.0
108,Hithadhoo,MV,2020-05-08 03:33:18,-0.6,73.08,84.67,79,89,14.54,overcast clouds,0.0,0.0
109,Cherskiy,RU,2020-05-08 03:33:18,68.75,161.3,36.05,84,1,1.21,clear sky,0.0,0.0
110,Kununurra,AU,2020-05-08 03:33:19,-15.77,128.73,91.4,22,57,10.29,broken clouds,0.0,0.0
111,Caravelas,BR,2020-05-08 03:33:19,-17.71,-39.25,72.46,92,100,13.71,light rain,0.53,0.0
112,Tessalit,ML,2020-05-08 03:33:19,20.2,1.01,83.14,13,0,14.54,clear sky,0.0,0.0
113,East London,ZA,2020-05-08 03:33:19,-33.02,27.91,59.0,93,88,4.7,overcast clouds,0.0,0.0
114,Hobart,AU,2020-05-08 03:33:19,-42.88,147.33,64.0,45,75,11.41,broken clouds,0.0,0.0
115,Luderitz,NA,2020-05-08 03:33:20,-26.65,15.16,55.4,87,53,8.05,broken clouds,0.0,0.0
116,Tromso,NO,2020-05-08 03:33:20,69.65,18.96,30.2,100,90,12.75,snow,0.0,0.0
117,Saldanha,ZA,2020-05-08 03:33:20,-33.01,17.94,53.6,87,6,4.7,clear sky,0.0,0.0
118,Deputatskiy,RU,2020-05-08 03:33:20,69.3,139.9,25.05,99,100,13.47,light snow,0.0,0.12
119,Pisco,PE,2020-05-08 03:33:20,-13.7,-76.22,68.0,77,100,2.24,overcast clouds,0.0,0.0
120,Lebu,CL,2020-05-08 03:33:20,-37.62,-73.65,56.97,84,100,5.1,overcast clouds,0.0,0.0
121,Chase,CA,2020-05-08 03:33:21,50.82,-119.69,60.8,61,20,9.17,few clouds,0.0,0.0
122,Pitsunda,GE,2020-05-08 03:33:21,43.16,40.34,53.6,93,90,6.71,light intensity shower rain,0.0,0.0
123,Weihe,CN,2020-05-08 03:33:21,33.0,105.32,63.3,49,55,7.92,broken clouds,0.0,0.0
124,Bulgan,MN,2020-05-08 03:33:21,48.81,103.53,52.84,42,99,13.27,overcast clouds,0.0,0.0
125,Port Blair,IN,2020-05-08 03:33:21,11.67,92.75,86.0,79,75,4.7,broken clouds,0.0,0.0
126,Ballina,AU,2020-05-08 03:31:00,-28.87,153.57,80.01,73,75,10.29,broken clouds,0.0,0.0
127,Clyde River,CA,2020-05-08 03:33:22,70.47,-68.59,5.0,92,1,2.24,clear sky,0.0,0.0
128,Touros,BR,2020-05-08 03:33:22,-5.2,-35.46,75.2,94,20,3.36,few clouds,0.0,0.0
129,Natal,BR,2020-05-08 03:32:35,-5.79,-35.21,75.2,94,20,3.36,few clouds,0.0,0.0
130,Cape Town,ZA,2020-05-08 03:28:25,-33.93,18.42,63.0,93,12,3.36,few clouds,0.0,0.0
131,Komsomolskiy,UZ,2020-05-08 03:33:22,40.43,71.72,73.4,38,97,6.93,overcast clouds,0.0,0.0
132,Constitucion,CL,2020-05-08 03:33:22,-35.33,-72.42,60.58,46,100,2.75,overcast clouds,0.0,0.0
133,Longyearbyen,SJ,2020-05-08 03:33:23,78.22,15.64,23.36,91,85,4.97,overcast clouds,0.0,0.0
134,Udachnyy,RU,2020-05-08 03:33:23,66.42,112.4,21.2,57,87,8.95,overcast clouds,0.0,0.0
135,Namie,JP,2020-05-08 03:33:23,37.48,141.0,72.0,19,0,1.99,clear sky,0.0,0.0
136,Cabo San Lucas,MX,2020-05-08 03:33:23,22.89,-109.91,86.0,22,5,12.73,clear sky,0.0,0.0
137,Oeiras,BR,2020-05-08 03:33:23,-7.03,-42.13,73.26,91,100,2.21,overcast clouds,0.0,0.0
138,Channel-Port Aux Basques,CA,2020-05-08 03:33:23,47.57,-59.14,32.94,96,100,3.65,snow,0.0,0.6
139,Port Hedland,AU,2020-05-08 03:33:24,-20.32,118.57,87.8,29,15,10.29,few clouds,0.0,0.0
