City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
134,Alindao,CF,2020-05-06 03:15:32,5.03,21.21,71.58,94,98,2.51
135,Northam,GB,2020-05-06 03:15:32,51.03,-4.22,48.99,74,66,5.99
136,Bathsheba,BB,2020-05-06 03:12:48,13.22,-59.52,80.6,78,40,23.04
137,Nanortalik,GL,2020-05-06 03:15:33,60.14,-45.24,40.42,74,100,11.45
138,Martapura,ID,2020-05-06 03:15:33,-3.42,114.85,91.56,58,1,3.96
139,Tuktoyaktuk,CA,2020-05-06 03:15:33,69.45,-133.04,30.2,86,90,3.36
140,Amahai,ID,2020-05-06 03:15:34,-3.33,128.92,85.48,75,15,5.91
141,Tasiilaq,GL,2020-05-06 03:15:34,65.61,-37.64,32.0,88,100,6.29
142,Kerema,PG,2020-05-06 03:15:34,-7.96,145.78,75.18,89,100,8.01
143,Mar Del Plata,AR,2020-05-06 03:12:16,-38.0,-57.56,54.0,58,90,13.87
144,Castro,BR,2020-05-06 03:15:35,-24.79,-50.01,58.5,76,98,4.59
145,Mangrol,IN,2020-05-06 03:15:35,21.12,70.12,84.04,71,0,9.75
146,Codrington,AU,2020-05-06 03:13:12,-38.27,141.97,63.63,46,100,17.29
147,Formosa Do Rio Preto,BR,2020-05-06 03:15:36,-11.05,-45.19,71.11,82,75,3.09
148,Carmelo,UY,2020-05-06 03:15:36,-33.99,-58.29,53.6,76,0,10.29
149,Bay Roberts,CA,2020-05-06 03:15:36,47.6,-53.26,41.0,1,100,1.99
150,Touros,BR,2020-05-06 03:15:37,-5.2,-35.46,77.0,94,40,3.36
151,Vestmannaeyjar,IS,2020-05-06 03:12:40,63.44,-20.27,44.24,85,100,10.71
152,Coahuayana,MX,2020-05-06 03:15:37,18.73,-103.68,72.88,78,0,1.21
153,Santa Rosa,PH,2020-05-06 03:12:03,14.31,121.11,95.0,56,40,5.82
154,Sitka,US,2020-05-06 03:15:38,57.05,-135.33,53.6,50,40,10.29
155,Diamantino,BR,2020-05-06 03:15:38,-14.41,-56.45,76.03,74,97,3.02
156,Kouroussa,GN,2020-05-06 03:15:39,10.65,-9.88,78.31,77,89,1.3
157,Norman Wells,CA,2020-05-06 03:15:39,65.28,-126.83,51.8,43,20,6.93
158,La Ronge,CA,2020-05-06 03:15:39,55.1,-105.28,37.4,51,5,6.93
159,Cabedelo,BR,2020-05-06 03:15:39,-6.98,-34.83,78.8,94,75,12.35
160,Erice,IT,2020-05-06 03:15:40,38.04,12.59,62.6,88,87,16.11
161,Bluefield,US,2020-05-06 03:15:40,37.27,-81.22,53.01,100,90,5.82
162,Nikolskoye,RU,2020-05-06 03:12:46,59.7,30.79,44.01,86,10,4.47
163,Ellensburg,US,2020-05-06 03:15:40,47.0,-120.55,71.6,26,20,4.7
164,Kapaa,US,2020-05-06 03:10:55,22.08,-159.32,80.6,65,1,12.75
165,Severo-Kurilsk,RU,2020-05-06 03:15:41,50.68,156.12,33.71,91,100,28.27
166,Goderich,CA,2020-05-06 03:15:26,43.75,-81.72,44.01,65,100,1.01
167,Les Escoumins,CA,2020-05-06 03:15:41,48.11,-69.02,32.11,100,99,6.62
168,Olafsvik,IS,2020-05-06 03:13:58,64.89,-23.71,41.99,89,100,8.14
169,Lavrentiya,RU,2020-05-06 03:15:41,65.58,-171.0,30.96,93,0,2.39
170,Okhotsk,RU,2020-05-06 03:15:42,59.38,143.3,41.16,62,0,13.38
171,Honiara,SB,2020-05-06 03:14:42,-9.43,159.95,89.6,62,20,6.93
172,Chuy,UY,2020-05-06 03:15:42,-33.7,-53.46,56.71,72,45,17.31
173,Banda Aceh,ID,2020-05-06 03:15:42,5.56,95.32,86.74,64,100,6.53
174,Zhigansk,RU,2020-05-06 03:15:42,66.77,123.37,32.27,98,100,11.65
175,Chabahar,IR,2020-05-06 03:15:43,25.29,60.64,85.8,53,0,9.28
176,Butaritari,KI,2020-05-06 03:15:43,3.07,172.79,83.01,81,22,12.17
177,Kamskoye Ustye,RU,2020-05-06 03:15:43,55.2,49.27,55.4,47,7,11.18
178,Port Elizabeth,ZA,2020-05-06 03:15:43,-33.92,25.57,62.6,82,26,11.41
179,Huntsville,US,2020-05-06 03:11:49,34.73,-86.59,63.0,77,20,4.7
180,Sabha,LY,2020-05-06 03:15:44,27.04,14.43,68.79,27,0,11.56
181,Don Sak,TH,2020-05-06 03:15:44,9.32,99.69,93.99,63,20,4.7
182,Ordzhonikidze,KZ,2020-05-06 03:15:44,52.44,61.74,58.82,42,0,7.96
183,Ponta Do Sol,PT,2020-05-06 03:15:45,32.67,-17.1,62.6,82,20,3.36
184,Otradnoye,RU,2020-05-06 03:15:45,59.78,30.82,44.01,86,6,4.47
185,Ribeira Grande,PT,2020-05-06 03:15:45,38.52,-28.7,62.6,85,95,14.7
186,Lazaro Cardenas,MX,2020-05-06 03:15:45,17.96,-102.2,74.64,80,0,3.74
187,Mangan,IN,2020-05-06 03:15:46,27.52,88.53,76.93,34,53,2.1
188,Walvis Bay,NA,2020-05-06 03:15:46,-22.96,14.51,76.24,23,0,7.25
189,Mosetse,BW,2020-05-06 03:15:46,-20.75,26.65,54.19,62,0,8.75
190,Vanimo,PG,2020-05-06 03:15:47,-2.67,141.3,86.65,69,23,6.51
191,Cidreira,BR,2020-05-06 03:15:47,-30.18,-50.21,64.45,79,100,18.3
192,Barrow,US,2020-05-06 03:15:47,71.29,-156.79,17.6,78,1,11.41
193,Provideniya,RU,2020-05-06 03:12:44,64.38,-173.3,32.0,77,0,6.71
194,Uvat,RU,2020-05-06 03:15:48,59.14,68.9,59.04,60,74,10.85
195,Tulun,RU,2020-05-06 03:14:16,54.56,100.58,46.04,55,100,18.7
196,Korla,CN,2020-05-06 03:15:48,41.76,86.15,68.22,27,100,8.68
197,Slave Lake,CA,2020-05-06 03:15:49,55.28,-114.77,60.8,31,1,5.82
198,Shenjiamen,CN,2020-05-06 03:15:49,29.96,122.3,66.15,89,100,8.66
199,Copiapo,CL,2020-05-06 03:15:49,-27.37,-70.33,59.0,82,0,3.36
200,Geraldton,AU,2020-05-06 03:15:49,-28.77,114.6,68.0,45,40,20.8
201,Igarka,RU,2020-05-06 03:15:49,67.47,86.58,22.73,93,100,6.96
202,Kashi,CN,2020-05-06 03:15:49,39.45,75.98,59.0,58,75,4.47
203,Sidhi,IN,2020-05-06 03:15:50,24.42,81.88,90.86,29,0,5.21
204,Waipawa,NZ,2020-05-06 03:15:50,-41.41,175.52,55.4,47,0,2.24
205,Sao Joao Da Barra,BR,2020-05-06 03:15:50,-21.64,-41.05,71.96,88,64,7.67
206,Grindavik,IS,2020-05-06 03:14:13,63.84,-22.43,42.8,81,90,5.82
207,Mogocha,RU,2020-05-06 03:15:50,53.73,119.77,63.12,27,97,9.46
208,Khorixas,NA,2020-05-06 03:15:51,-20.37,14.97,69.71,24,0,14.7
209,San Cristobal,VE,2020-05-06 03:15:51,7.77,-72.22,69.15,89,100,3.27
210,Dalton,US,2020-05-06 03:15:51,34.77,-84.97,64.4,77,1,3.36
211,Mahajanga,MG,2020-05-06 03:15:52,-15.72,46.32,71.6,94,20,5.82
212,Salalah,OM,2020-05-06 03:15:53,17.02,54.09,82.4,83,40,2.24
213,Akdepe,TM,2020-05-06 03:15:53,42.06,59.38,62.6,67,0,6.93
214,Zalesovo,RU,2020-05-06 03:15:53,53.99,84.74,47.59,62,99,9.33
215,Butembo,CD,2020-05-06 03:15:53,0.15,29.28,57.97,96,80,2.66
216,Dondo,MZ,2020-05-06 03:15:53,-19.61,34.74,75.2,69,75,4.7
217,Gallup,US,2020-05-06 03:15:54,35.53,-108.74,62.6,11,1,3.36
218,Upernavik,GL,2020-05-06 03:13:19,72.79,-56.15,20.68,91,0,8.72
219,Noumea,NC,2020-05-06 03:12:34,-22.28,166.46,73.0,73,90,13.87
220,Laguna,US,2020-05-06 03:13:21,38.42,-121.42,69.01,59,1,12.75
221,Cape Town,ZA,2020-05-06 03:13:21,-33.93,18.42,64.99,93,0,9.17
222,Namibe,AO,2020-05-06 03:15:55,-15.2,12.15,77.65,67,12,0.87
223,Bismarck,US,2020-05-06 03:11:46,46.81,-100.78,51.8,50,75,5.82
224,Dingle,PH,2020-05-06 03:15:55,11.0,122.67,93.24,51,39,5.59
225,Kijang,KR,2020-05-06 03:15:56,35.24,129.21,75.2,41,1,8.05
226,Adrar,MR,2020-05-06 03:15:56,20.5,-10.07,85.82,13,0,7.72
227,Jakar,BT,2020-05-06 03:15:56,27.55,90.75,58.03,53,38,4.41
228,Tuatapere,NZ,2020-05-06 03:15:57,-46.13,167.68,55.67,69,96,9.22
229,Umm Lajj,SA,2020-05-06 03:15:57,25.02,37.27,74.89,46,1,9.44
230,Nakamura,JP,2020-05-06 03:15:58,32.98,132.93,74.86,72,95,3.83
231,San Quintin,MX,2020-05-06 03:15:58,30.48,-115.95,67.41,73,0,11.99
232,Luderitz,NA,2020-05-06 03:15:58,-26.65,15.16,72.63,28,0,7.43
233,Fortuna,US,2020-05-06 03:12:13,40.6,-124.16,55.99,87,1,8.05
234,East London,ZA,2020-05-06 03:15:59,-33.02,27.91,64.4,57,11,11.56
235,San Pedro,PH,2020-05-06 03:15:59,14.35,121.02,95.0,56,40,5.82
236,Kimbe,PG,2020-05-06 03:15:59,-5.55,150.14,85.48,72,56,4.97
237,Opuwo,NA,2020-05-06 03:15:59,-18.06,13.84,63.34,50,1,6.02
238,Solnechnyy,RU,2020-05-06 03:13:24,50.72,136.63,56.05,37,78,1.16
239,Port Hardy,CA,2020-05-06 03:16:00,50.7,-127.42,59.0,47,75,8.05
240,Caravelas,BR,2020-05-06 03:16:00,-17.71,-39.25,71.73,79,0,4.5
241,Winnemucca,US,2020-05-06 03:16:00,40.97,-117.74,64.4,7,1,8.05
242,Tashla,RU,2020-05-06 03:16:01,51.77,52.74,55.58,54,98,13.85
243,Alice Springs,AU,2020-05-06 03:14:56,-23.7,133.88,78.8,12,0,10.29
244,Mayo,US,2020-05-06 03:16:02,38.89,-76.51,51.8,81,90,4.7
245,Kahului,US,2020-05-06 03:12:57,20.89,-156.47,84.2,42,40,20.8
246,Aqtobe,KZ,2020-05-06 03:14:35,50.28,57.21,48.2,57,0,6.71
247,Samarai,PG,2020-05-06 03:16:02,-10.62,150.67,81.55,74,100,15.32
248,Ilo,PE,2020-05-06 03:16:03,-17.64,-71.34,65.79,81,96,5.46
249,Sun City West,US,2020-05-06 03:16:03,33.66,-112.34,93.0,11,5,5.82
250,Fandriana,MG,2020-05-06 03:16:03,-20.23,47.38,58.5,92,69,1.52
251,Marrakesh,MA,2020-05-06 03:16:04,31.63,-8.01,66.2,68,58,3.36
252,Blytheville,US,2020-05-06 03:11:54,35.93,-89.92,64.4,52,1,8.05
253,Kourou,GF,2020-05-06 03:16:04,5.16,-52.65,82.4,78,75,13.87
254,Necochea,AR,2020-05-06 03:16:04,-38.55,-58.74,52.0,80,68,15.01
255,Sabang,ID,2020-05-06 03:16:05,5.89,95.32,85.05,71,100,11.41
256,Ugoofaaru,MV,2020-05-06 03:16:05,5.67,73.0,84.63,79,100,12.39
257,Harbour Breton,CA,2020-05-06 03:16:05,47.48,-55.8,34.41,97,100,10.38
258,Maceio,BR,2020-05-06 03:12:34,-9.67,-35.74,75.2,94,75,2.24
259,Portland,US,2020-05-06 03:16:06,45.52,-122.68,68.0,45,90,8.05
260,San Onofre,CO,2020-05-06 03:16:06,9.74,-75.53,79.66,86,69,4.09
261,Naryan-Mar,RU,2020-05-06 03:16:06,67.67,53.09,28.74,98,40,6.82
262,Terney,RU,2020-05-06 03:16:07,45.05,136.61,50.7,58,48,4.09
263,Kokologo,BF,2020-05-06 03:16:07,12.19,-1.89,84.2,62,20,11.41
264,Ozernovskiy,RU,2020-05-06 03:16:07,51.5,156.52,33.39,92,100,28.99
265,Wuwei,CN,2020-05-06 03:16:08,37.93,102.64,59.31,44,100,6.96
266,Sao Filipe,CV,2020-05-06 03:16:08,14.9,-24.5,74.14,75,2,6.38
267,Yeppoon,AU,2020-05-06 03:12:43,-23.13,150.73,78.8,44,18,17.22
268,Itarema,BR,2020-05-06 03:16:08,-2.92,-39.92,77.68,88,43,10.22
269,Nome,US,2020-05-06 03:16:09,64.5,-165.41,44.6,45,1,5.82
270,Wanning,CN,2020-05-06 03:16:09,18.8,110.4,87.6,68,2,14.5
271,Ulladulla,AU,2020-05-06 03:16:10,-35.35,150.47,72.0,40,89,11.41
272,Lebu,CL,2020-05-06 03:13:10,-37.62,-73.65,52.54,71,19,14.9
273,Arraial Do Cabo,BR,2020-05-06 03:16:10,-22.97,-42.03,73.94,84,99,17.43
274,Christchurch,NZ,2020-05-06 03:14:57,-43.53,172.63,62.6,42,1,5.82
275,Oktyabrskiy,RU,2020-05-06 03:16:11,54.48,53.47,56.66,60,0,6.38
276,New London,US,2020-05-06 03:16:11,41.36,-72.1,48.0,65,1,5.82
277,Oudtshoorn,ZA,2020-05-06 03:16:11,-33.59,22.2,59.0,93,40,3.36
278,Xining,CN,2020-05-06 03:16:12,36.62,101.77,68.2,31,100,4.23
279,Vanderhoof,CA,2020-05-06 03:15:26,54.02,-124.02,52.88,43,100,6.82
280,Buraydah,SA,2020-05-06 03:16:12,26.33,43.98,77.0,41,0,9.17
281,Shenkursk,RU,2020-05-06 03:16:13,62.11,42.9,47.43,96,100,6.62
282,Cherskiy,RU,2020-05-06 03:16:13,68.75,161.3,31.66,93,61,4.36
283,Bambanglipuro,ID,2020-05-06 03:16:13,-7.95,110.28,86.2,72,78,7.58
284,Piney Green,US,2020-05-06 03:16:13,34.72,-77.32,64.4,88,90,8.05
285,Ancud,CL,2020-05-06 03:16:13,-41.87,-73.82,44.01,100,90,2.24
286,Jiwani,PK,2020-05-06 03:16:13,25.05,61.74,85.44,59,0,11.5
287,Porto Santo,PT,2020-05-06 03:16:14,33.07,-16.34,62.6,82,98,1.12
288,Valdepenas,ES,2020-05-06 03:16:14,38.76,-3.38,55.0,68,10,3.15
289,Khani,GE,2020-05-06 03:16:15,41.96,42.96,57.2,100,90,2.24
290,Mishelevka,RU,2020-05-06 03:16:15,52.86,103.17,51.98,44,0,8.12
291,Flinders,AU,2020-05-06 03:16:15,-34.58,150.86,72.0,53,37,7.0
292,Huarmey,PE,2020-05-06 03:16:15,-10.07,-78.15,68.85,81,83,4.12
293,Kalawit,PH,2020-05-06 03:16:16,8.07,122.52,89.85,59,77,2.01
294,Carutapera,BR,2020-05-06 03:16:16,-1.2,-46.02,77.0,94,96,6.8
295,Narsaq,GL,2020-05-06 03:16:16,60.92,-46.05,44.6,65,100,4.7
296,Avera,US,2020-05-06 03:16:16,33.19,-82.53,75.2,78,1,4.7
297,Port-Gentil,GA,2020-05-06 03:16:16,-0.72,8.78,80.83,86,13,9.01
298,Hambantota,LK,2020-05-06 03:16:16,6.12,81.12,85.24,74,57,13.38
299,Hamilton,US,2020-05-06 03:11:26,39.18,-84.53,48.99,57,90,10.29
300,Xuddur,SO,2020-05-06 03:16:17,4.12,43.89,75.25,83,12,7.61
301,Henties Bay,NA,2020-05-06 03:16:18,-22.12,14.28,76.73,28,0,13.22
302,Berlevag,NO,2020-05-06 03:16:18,70.86,29.09,37.26,81,33,26.69
303,Deputatskiy,RU,2020-05-06 03:16:18,69.3,139.9,21.33,96,100,4.03
304,Payson,US,2020-05-06 03:16:18,40.04,-111.73,68.0,34,1,5.82
305,Hanyang,CN,2020-05-06 03:16:18,32.14,105.51,82.0,64,73,7.45
306,Fengcheng,CN,2020-05-06 03:16:19,40.45,124.07,73.51,23,3,8.95
